age,industry,gender,race,job,timestamp,experience_overall_years,experience_field_years,education
55-64,Utilities & Telecommunications,Woman,White,Manager,4/28/2021 13:50:12,31 - 40 years,31 - 40 years,College degree
25-34,Computing or Tech,Woman,White,Executive Assistant,4/27/2021 13:40:33,8 - 10 years,5-7 years,College degree
25-34,Education (Higher Education),Woman,White,Student Advisor,4/30/2021 22:28:37,8 - 10 years,8 - 10 years,Master's degree
45-54,Education (Higher Education),Woman,White,Associate Clinical Professor,4/30/2021 19:16:58,31 - 40 years,11 - 20 years,PhD
45-54,Pharmaceitical manufacturing,Woman,White,Senior Report Writer,4/30/2021 8:57:46,21 - 30 years,11 - 20 years,College degree
25-34,Transport or Logistics,Woman,White,Terminal Manager,4/27/2021 12:53:55,8 - 10 years,8 - 10 years,College degree
45-54,Computing or Tech,Woman,White,Software Engineer,5/5/2021 22:29:14,21 - 30 years,21 - 30 years,College degree
35-44,Health care,Woman,Asian or Asian American,Director of Grants Admin,4/27/2021 12:00:29,11 - 20 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Man,White,Customer Solution Engineer,4/29/2021 0:35:55,5-7 years,2 - 4 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,White,Operations Manager ,5/1/2021 2:20:14,8 - 10 years,5-7 years,College degree
25-34,Nonprofits,Woman,White,Director of Institutional Giving,4/27/2021 15:56:33,8 - 10 years,5-7 years,Master's degree
25-34,"Marketing, Advertising & PR",Woman,White,Marketing consultant ,4/28/2021 20:06:01,11 - 20 years,8 - 10 years,College degree
45-54,Education (Higher Education),Woman,White,Scheduling Officer,5/5/2021 18:41:06,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Woman,White,Senior Program Manager,4/29/2021 19:45:41,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Computing or Tech,Woman,White,information architect,4/28/2021 17:37:20,8 - 10 years,5-7 years,Master's degree
35-44,"Accounting, Banking & Finance",Woman,White,Compensation manager,4/27/2021 11:56:11,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Woman,White,Senior Software Developer,4/27/2021 14:48:05,8 - 10 years,8 - 10 years,College degree
35-44,Hospitality & Events,Woman,White,Director of Sales ,9/30/2021 20:17:19,11 - 20 years,8 - 10 years,College degree
45-54,Transport or Logistics,Woman,White,Records Analyst,4/28/2021 10:42:20,21 - 30 years,11 - 20 years,Master's degree
25-34,Nonprofits,Woman,White,Gifts and Data Coordinator ,4/27/2021 13:51:18,8 - 10 years,5-7 years,College degree
35-44,Law,Woman,White,Attorney,4/27/2021 15:40:41,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,Education (Higher Education),Other or prefer not to answer,Another option not listed here or prefer not to answer,Admissions Manager,5/2/2021 8:48:20,5-7 years,2 - 4 years,College degree
35-44,Computing or Tech,Woman,Asian or Asian American,Senior Software Engineer,4/27/2021 13:52:21,11 - 20 years,11 - 20 years,Master's degree
25-34,Law,Woman,White,Attorney,4/29/2021 9:54:03,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
35-44,Recruitment or HR,Woman,White,Talent Acquisition Manager,4/27/2021 13:51:03,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Woman,White,Software Developer,4/28/2021 12:05:45,5-7 years,2 - 4 years,College degree
35-44,"Accounting, Banking & Finance",Man,White,Advisory Manager,4/27/2021 14:07:33,8 - 10 years,8 - 10 years,College degree
35-44,Computing or Tech,Woman,White,Senior Front End Developer,12/9/2021 19:11:41,11 - 20 years,11 - 20 years,College degree
35-44,Scientific,Woman,White,Regional Quality Manager,4/30/2021 18:19:25,11 - 20 years,11 - 20 years,Master's degree
35-44,Entertainment,Woman,White,Program Coordinator ,4/27/2021 14:47:42,21 - 30 years,11 - 20 years,College degree
25-34,Sales,Man,Black or African American,Sales Enablement Manager,4/28/2021 20:38:49,5-7 years,1 year or less,College degree
35-44,Media & Digital,Man,White,Editor,4/28/2021 17:28:23,11 - 20 years,11 - 20 years,College degree
45-54,Engineering or Manufacturing,Woman,White,Quality Engineer,4/27/2021 16:05:36,8 - 10 years,5-7 years,Master's degree
35-44,Insurance,Woman,White,Clinical Care Associate,4/28/2021 19:52:48,11 - 20 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Woman,Another option not listed here or prefer not to answer,Aerospace Engineer,4/30/2021 11:50:19,5-7 years,1 year or less,PhD
45-54,Education (Higher Education),Woman,White,administrative assistant II,4/27/2021 11:47:03,21 - 30 years,8 - 10 years,Master's degree
55-64,Labor Union,Woman,White,Director of Facilities ,4/30/2021 18:56:14,31 - 40 years,31 - 40 years,College degree
25-34,Government and Public Administration,Woman,"Asian or Asian American, White",Youth Services Librarian,4/27/2021 11:08:16,8 - 10 years,2 - 4 years,Master's degree
25-34,Recruitment or HR,Woman,White,Recruiter ,6/8/2021 15:32:08,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,Man,White,Cost & Pricing Officer,4/27/2021 12:02:08,8 - 10 years,5-7 years,College degree
45-54,Technical writing,Woman,White,HR Manager,4/29/2021 11:39:22,21 - 30 years,21 - 30 years,Master's degree
25-34,Health care,Woman,White,Office Manager,9/28/2021 12:34:16,5-7 years,2 - 4 years,College degree
35-44,Recruitment or HR,Woman,White,"Sr Director, HR Business Partner",5/3/2021 23:38:43,21 - 30 years,11 - 20 years,College degree
35-44,Computing or Tech,Man,White,Director of Software Engineering,5/5/2021 16:13:48,21 - 30 years,21 - 30 years,Some college
25-34,Business or Consulting,Woman,White,Supervisor,4/27/2021 14:28:19,11 - 20 years,11 - 20 years,College degree
18-24,Agriculture or Forestry,Woman,White,Laboratory & Research Assistant,4/29/2021 11:52:44,1 year or less,1 year or less,College degree
45-54,Engineering or Manufacturing,Woman,White,Director of Administrative Services,4/27/2021 17:14:51,21 - 30 years,21 - 30 years,College degree
45-54,Law,Woman,White,Counsel,4/28/2021 12:46:18,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)"
25-34,"Marketing, Advertising & PR",Woman,White,Public Relations Coordinator ,3/4/2022 10:11:46,2 - 4 years,1 year or less,College degree
35-44,Education (Primary/Secondary),Woman,White,Teacher/High School Dept Chair,4/27/2021 12:31:17,21 - 30 years,21 - 30 years,Master's degree
18-24,Nonprofits,Woman,White,Program manager,5/5/2021 17:35:50,2 - 4 years,2 - 4 years,PhD
18-24,"Accounting, Banking & Finance",Woman,White,Analyst,4/27/2021 15:22:30,2 - 4 years,2 - 4 years,College degree
35-44,"Accounting, Banking & Finance",Woman,White,Accounting & AP Specialist,4/29/2021 1:34:49,21 - 30 years,11 - 20 years,College degree
35-44,Health care,Woman,White,Financial specialist,4/27/2021 11:36:41,8 - 10 years,5-7 years,College degree
25-34,Health care,Woman,White,Clinical Pharmacy Manager,5/6/2021 23:06:15,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,"Marketing, Advertising & PR",Woman,White,Prepress Technician,4/28/2021 13:37:35,8 - 10 years,5-7 years,College degree
35-44,Computing or Tech,Woman,White,Lead Recruiting Coordinator,4/28/2021 19:48:48,11 - 20 years,5-7 years,College degree
25-34,"Marketing, Advertising & PR",Woman,"Hispanic, Latino, or Spanish origin",Associate Program Manager,4/27/2021 13:23:44,2 - 4 years,2 - 4 years,College degree
35-44,awards and engraving,Woman,White,Engraver,4/27/2021 15:26:15,21 - 30 years,21 - 30 years,High School
25-34,Nonprofits,Woman,White,Development and Marketing Coordinator,5/5/2021 17:31:36,8 - 10 years,2 - 4 years,Master's degree
45-54,Health care,Woman,White,Physician,4/27/2021 11:44:19,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)"
55-64,State-level public transportation agency,Man,White,"Senior Manager, Bus Scheduling",4/27/2021 14:05:54,31 - 40 years,31 - 40 years,Master's degree
45-54,Retail,Woman,White,Cashier,4/28/2021 14:02:56,21 - 30 years,21 - 30 years,Master's degree
25-34,Government and Public Administration,Woman,White,Data Manager ,5/6/2021 22:41:37,5-7 years,2 - 4 years,Master's degree
45-54,Computing or Tech,Woman,White,Sales Development Representative ,4/27/2021 11:23:19,21 - 30 years,11 - 20 years,College degree
25-34,Media & Digital,Woman,White,Senior editor ,5/6/2021 11:33:37,8 - 10 years,8 - 10 years,College degree
35-44,Health care,Woman,Asian or Asian American,Executive Assistant ,11/21/2021 23:32:32,8 - 10 years,5-7 years,College degree
35-44,Utilities & Telecommunications,Man,White,Sales,4/28/2021 7:58:12,8 - 10 years,2 - 4 years,Some college
25-34,Food service ,Woman,"Hispanic, Latino, or Spanish origin",Food stand attendant ,4/29/2021 12:47:46,2 - 4 years,8 - 10 years,College degree
35-44,Computing or Tech,Woman,White,Senior Engineer,4/27/2021 12:36:56,21 - 30 years,21 - 30 years,College degree
25-34,Engineering or Manufacturing,Woman,Asian or Asian American,Senior R&D engineer manager ,10/26/2021 11:20:54,8 - 10 years,8 - 10 years,Master's degree
45-54,Education (Higher Education),Woman,White,HRIS Business Analyst,5/7/2021 20:44:24,11 - 20 years,11 - 20 years,Master's degree
25-34,Nonprofits,Woman,White,Civil rights test coordinator ,4/28/2021 22:12:55,5-7 years,2 - 4 years,College degree
25-34,Education (Higher Education),Man,White,Records and Data Control Specialist,4/28/2021 9:24:31,5-7 years,2 - 4 years,College degree
18-24,Business or Consulting,Woman,White,Executive Pay Analyst,5/5/2021 17:43:29,1 year or less,1 year or less,College degree
25-34,Art & Design,Woman,White,Creative Manager,4/27/2021 12:22:41,8 - 10 years,8 - 10 years,College degree
45-54,Nonprofits,Woman,White,Publications & Communications Manager,4/27/2021 12:13:23,31 - 40 years,21 - 30 years,College degree
25-34,Education (Higher Education),Woman,White,Career Coach,4/27/2021 17:29:57,5-7 years,5-7 years,Master's degree
25-34,Nonprofits,Woman,White,Finance Director,4/30/2021 18:56:50,8 - 10 years,8 - 10 years,Master's degree
25-34,Art & Design,Woman,White,Graphic Designer,4/29/2021 20:28:16,5-7 years,2 - 4 years,College degree
25-34,Transport or Logistics,Woman,White,Dispatcher,5/3/2021 16:53:34,8 - 10 years,5-7 years,College degree
25-34,Law,Woman,Asian or Asian American,Assistant US Attorney,6/2/2021 22:29:17,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
35-44,Computing or Tech,Man,White,Senior Software Developer,4/29/2021 8:02:28,11 - 20 years,11 - 20 years,College degree
25-34,Business or Consulting,Woman,White,Vice President,8/15/2021 17:01:44,5-7 years,2 - 4 years,Master's degree
25-34,Education (Higher Education),Woman,White,Records Specialist,4/27/2021 11:38:56,11 - 20 years,1 year or less,College degree
25-34,Health care,Woman,White,Audiologist,4/27/2021 22:17:59,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)"
25-34,Business or Consulting,Woman,White,Senior Pharmacy Financial Consultant,4/27/2021 11:14:04,8 - 10 years,5-7 years,Master's degree
55-64,Social Work,Woman,White,Clinical Director,4/29/2021 0:22:32,31 - 40 years,31 - 40 years,Master's degree
35-44,Business or Consulting,Man,White,Sr. Director,4/29/2021 13:48:41,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
45-54,Education (Higher Education),Woman,Asian or Asian American,Professor,4/27/2021 18:21:42,21 - 30 years,21 - 30 years,PhD
35-44,Health care,Woman,White,Assistant Vice President,5/7/2021 21:44:12,11 - 20 years,11 - 20 years,Master's degree
35-44,Education (Higher Education),Woman,White,User Engagement Librarian,4/27/2021 13:19:33,11 - 20 years,11 - 20 years,Master's degree
25-34,Transport or Logistics,Woman,White,Senior Business Systems Analyst,4/28/2021 15:26:21,11 - 20 years,5-7 years,Master's degree
25-34,"Marketing, Advertising & PR",Woman,"Hispanic, Latino, or Spanish origin",Junior Media Buyer,4/29/2021 14:55:57,2 - 4 years,2 - 4 years,College degree
35-44,Health care,Woman,Another option not listed here or prefer not to answer,psychiatric nurse practitioner,9/13/2021 22:31:39,5-7 years,5-7 years,Master's degree
25-34,Law,Woman,White,Immigration Policy Analyst,4/27/2021 13:55:56,5-7 years,5-7 years,College degree
25-34,Computing or Tech,Woman,White,Product Specialist ,4/27/2021 21:29:22,5-7 years,5-7 years,College degree
35-44,Computing or Tech,Man,"White, Another option not listed here or prefer not to answer",Senior Software Engineer,4/28/2021 17:10:01,8 - 10 years,8 - 10 years,Master's degree
25-34,Nonprofits,Woman,Asian or Asian American,Program Coordinator,4/27/2021 14:57:02,5-7 years,5-7 years,College degree
25-34,Computing or Tech,Non-binary,White,QA Engineer II,4/30/2021 7:38:38,5-7 years,1 year or less,College degree
25-34,Public Library,Woman,"Hispanic, Latino, or Spanish origin, White",Assistant Branch Manager,4/27/2021 11:49:10,2 - 4 years,11 - 20 years,Master's degree
25-34,Media & Digital,Woman,White,Senior Manager Growth Marketing,4/29/2021 17:40:29,11 - 20 years,11 - 20 years,College degree
35-44,Health care,Woman,White,Receptionist,4/27/2021 14:35:46,5-7 years,5-7 years,Master's degree
25-34,Media & Digital,Woman,White,Senior Production Editor,4/28/2021 23:35:24,8 - 10 years,8 - 10 years,College degree
25-34,Retail,Man,"Hispanic, Latino, or Spanish origin",Field Representative,10/26/2021 13:32:28,5-7 years,2 - 4 years,High School
25-34,Education (Primary/Secondary),Woman,White,2nd Grade Teacher,4/28/2021 20:53:05,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,Man,White,Archives & Records Manager,4/27/2021 15:35:17,11 - 20 years,5-7 years,Master's degree
35-44,Computing or Tech,Woman,White,Application Specialist II,4/27/2021 13:16:26,21 - 30 years,21 - 30 years,College degree
35-44,Health care,Woman,White,Payroll Accountant,4/27/2021 16:37:15,11 - 20 years,11 - 20 years,College degree
45-54,Computing or Tech,Woman,White,Sr asst vp,4/30/2021 16:18:54,31 - 40 years,31 - 40 years,College degree
18-24,"Accounting, Banking & Finance",Man,White,Member Service Associate,5/5/2021 15:28:33,1 year or less,1 year or less,Some college
25-34,Computing or Tech,Man,Asian or Asian American,Lead Software Engineer,5/9/2021 17:58:15,5-7 years,5-7 years,Master's degree
25-34,"Marketing, Advertising & PR",Woman,Asian or Asian American,Director of Performance Marketing,4/28/2021 15:58:06,8 - 10 years,8 - 10 years,College degree
25-34,Law,Woman,White,Paralegal ,4/30/2021 16:10:57,8 - 10 years,1 year or less,College degree
35-44,Health care,Woman,White,Clinical Social Worker LCSW,1/21/2022 21:17:55,11 - 20 years,11 - 20 years,Master's degree
35-44,Property or Construction,Woman,White,Senior Operations Associate,4/28/2021 6:25:26,11 - 20 years,2 - 4 years,Some college
35-44,Eap,Woman,White,Account Manager ,4/27/2021 11:24:25,8 - 10 years,8 - 10 years,College degree
25-34,Entertainment,Woman,"Asian or Asian American, White",Game Designer,4/27/2021 12:46:35,8 - 10 years,2 - 4 years,Master's degree
25-34,Nonprofits,Woman,White,Program Manager,4/27/2021 11:02:41,8 - 10 years,5-7 years,College degree
35-44,Engineering or Manufacturing,Man,White,Senior Engineer,4/29/2021 12:26:59,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Man,"Native American or Alaska Native, White","Senior Advisor, Data Science",4/29/2021 15:59:41,8 - 10 years,2 - 4 years,College degree
35-44,Business or Consulting,Woman,White,Senior Manager,4/27/2021 11:03:21,11 - 20 years,2 - 4 years,Master's degree
45-54,Health care,Woman,White,Physician Assistant ,5/6/2021 2:20:47,11 - 20 years,11 - 20 years,Master's degree
35-44,Business or Consulting,Woman,White,Solutions Architecture ,4/30/2021 16:24:30,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Woman,"Hispanic, Latino, or Spanish origin",Retail Launch specialist,4/28/2021 12:59:00,5-7 years,2 - 4 years,College degree
25-34,Media & Digital,Woman,White,Finance & Operations Associate,4/28/2021 8:58:06,8 - 10 years,5-7 years,College degree
18-24,Forklift operator warehouse,Man,White,General warehouse associate 2,10/26/2021 12:47:22,5-7 years,2 - 4 years,High School
25-34,Social Work,Woman,White,Senior Case Manager,4/30/2021 12:33:29,2 - 4 years,2 - 4 years,College degree
35-44,Library,Woman,White,Assistant Director & District Consultant,7/9/2021 20:59:40,11 - 20 years,11 - 20 years,Master's degree
25-34,Property or Construction,Woman,White,Job Captain,4/28/2021 15:38:37,5-7 years,5-7 years,College degree
45-54,Retail,Man,White,IT Manager,4/27/2021 23:19:52,21 - 30 years,21 - 30 years,Master's degree
35-44,Insurance,Non-binary,White,benefit payments representative,4/29/2021 16:02:31,11 - 20 years,2 - 4 years,Some college
35-44,Government and Public Administration,Woman,White,Program Assistant,4/28/2021 9:15:27,11 - 20 years,11 - 20 years,College degree
35-44,Nonprofits,Woman,White,Chief of Staff,4/27/2021 12:43:11,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Man,White,Senior Penetration Tester,4/28/2021 15:26:48,11 - 20 years,11 - 20 years,College degree
25-34,Law,Woman,White,Attorney recruiting coordinator ,5/9/2022 23:03:36,8 - 10 years,1 year or less,Some college
35-44,"Marketing, Advertising & PR",Woman,White,Pursuits Manager,4/27/2021 18:30:34,21 - 30 years,11 - 20 years,College degree
25-34,Health care,Woman,White,Office Manager,4/27/2021 12:30:09,2 - 4 years,2 - 4 years,Master's degree
25-34,Education (Higher Education),Woman,White,Study Abroad Coordinator,5/6/2021 22:56:53,5-7 years,5-7 years,Master's degree
45-54,Business or Consulting,Man,White,principal analyst,4/27/2021 22:36:29,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Health care,Woman,White,"Director, Regulatory Affairs",5/6/2021 15:27:44,11 - 20 years,11 - 20 years,Master's degree
45-54,Government and Public Administration,Woman,Native American or Alaska Native,Audit Manager ,4/28/2021 23:28:08,21 - 30 years,21 - 30 years,College degree
25-34,Computing or Tech,Woman,White,Customer support engineer ,4/27/2021 16:27:02,5-7 years,2 - 4 years,College degree
